"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13424","@Web testlogin for v ADIDAS ORIGINAL","","2026-05-24","passed","2026-05-24","","tests\appClientPOM.spec.js","",""
"","19597","@Web testlogin for v ZARA COAT 3","","2026-05-24","passed","2026-05-24","","tests\appClientPOM.spec.js","",""
